CodAeroport;Oras;Pasageri
ATL;Atlanta;108067766 
DXB;Dubai;92300000 
DFW;Dallas/Fort Worth;87817864 
HND;Tokyo;85000000 
LHR;Londra;83860000 
DEN;Denver;82358744 
ORD;Chicago;80000000 
IST;Istanbul;79988272 
DEL;Delhi;77820834 
PVG;Shanghai;76798000 
LAX;Los Angeles;76587980 
CAN;Guangzhou;76345000 
ICN;Seul;70669246 
CDG;Paris;70290260 
SIN;Singapore;67700000 
PEK;Beijing;67380000 
AMS;Amsterdam;66828453 
MAD;Madrid;66196984 
JFK;New York;63265984 
SZX;Shenzhen;61280000 
HKG;Hong Kong;60000000 
FRA;Frankfurt;57500000 
CLT;Charlotte;57000000 
YYZ;Toronto;55000000 
BKK;Bangkok;54000000 
MIA;Miami;53000000 
SYD;Sydney;52000000 
KUL;Kuala Lumpur;51000000 
GRU;São Paulo;50000000 
MEX;Ciudad de México;49000000 
CGK;Jakarta;48000000 
DWC;Dubai;47000000 
ZRH;Zurich;46000000 
AUH;Abu Dhabi;45000000 
MUC;Munchen;44000000 
CPH;Copenhaga;43000000 
DOH;Doha;42000000 
ARN;Stockholm;41000000 
HEL;Helsinki;40000000 
OSL;Oslo;39000000 
OTO;Bucuresti;32000000
