CodDecolare;CodAterizare;TimpStart;Durata;AzimutInitial;AzimutFinal;Descriere
LHR;ORD;09:00:02;101;N 49 V;S 16 E;Airbus,129,8000
PVG;OTO;09:00:04;140;S 84 E;0;Airbus,127,11000
OTO;LHR;09:00:06;20;0;S 39 E;Comac,65,13000
AMS;SZX;09:00:10;10;N 23 E;S 52 V;Embraer,77,5000
OTO;BKK;09:00:15;2;0;S 2 E;Comac,76,14000
OTO;DXB;09:00:20;103;0;S 49 E;Comac,59,7000
OTO;HKG;09:00:25;140;0;S 80 E;Airbus,117,10000
AMS;OTO;09:01:10;137;N 13 V;0;Embraer,73,8000
CPH;OTO;09:01:30;142;N 4 V;0;Embraer,59,7000
CAN;LHR;09:01:50;39;N 48 E;S 87 V;Airbus,122,13000
DEN;ATL;09:02:10;30;N 5 V;S 31 E;Comac,74,7000
OTO;CPH;09:02:11;86;0;S 18 E;Embraer,55,14000
JFK;OSL;09:02:12;87;S 48 V;N 11 E;Boeing,149,8000
SYD;OTO;09:02:13;25;N 44 V;0;Embraer,55,9000
PVG;GRU;09:02:14;148;N 55 E;S 71 V;Boeing,164,7000
OTO;HKG;09:02:15;45;0;S 71 V;Airbus,161,7000
DWC;FRA;09:02:16;55;S 9 V;N 40 E;Boeing,120,7000
OTO;DEL;09:02:17;3;0;N 39 E;Airbus,117,6000
DOH;DEL;09:02:18;121;S 34 E;N 8 V;Embraer,51,7000
AMS;IST;09:02:19;40;S 60 E;N 84 V;Embraer,59,7000
DWC;OTO;09:02:20;55;S 50 V;0;Boeing,137,11000
DXB;YYZ;09:04:21;43;S 68 V;N 84 E;Airbus,179,11000
KUL;CGK;09:06:10;119;N 9 E;S 72 V;Boeing,143,10000
ZRH;OTO;09:06:30;100;N 51 E;0;Boeing,216,14000
OTO;DFW;09:06:50;117;0;S 90 E;Embraer,78,8000
OTO;SIN;09:07:10;143;0;N 47 V;Airbus,106,12000
OTO;DOH;09:07:30;120;0;N 80 V;Boeing,115,9000
ICN;CDG;09:07:50;148;N 14 E;S 14 V;Airbus,156,7000
CAN;LAX;09:08:10;3;S 3 E;N 79 V;Embraer,75,13000
DOH;OTO;09:08:30;51;S 15 E;0;Airbus,153,9000
HEL;KUL;09:08:50;41;S 55 E;N 55 V;Embraer,69,5000
ORD;HKG;09:09:10;121;S 4 V;N 84 E;Embraer,51,7000
DEN;MUC;09:09:30;18;S 14 V;N 25 E;Embraer,40,9000
OTO;YYZ;09:09:50;42;0;S 13 V;Airbus,156,6000
CAN;GRU;09:10:10;76;S 10 E;N 23 V;Airbus,171,5000
ZRH;OTO;09:10:30;105;N 51 V;0;Boeing,139,11000
YYZ;ZRH;09:10:50;51;N 48 E;S 72 V;Embraer,55,10000
DEN;OTO;09:11:10;88;N 73 E;0;Airbus,108,10000
SIN;OTO;09:11:30;14;S 8 E;0;Embraer,46,11000
LHR;OTO;09:11:50;40;N 28 V;0;Airbus,120,8000
MAD;OSL;09:12:10;5;S 74 E;N 79 V;Boeing,234,7000
OTO;MEX;09:12:30;9;0;S 13 E;Boeing,111,14000
DXB;GRU;09:12:50;87;S 25 V;N 70 E;Airbus,166,11000
HEL;IST;09:13:10;54;N 83 V;S 9 E;Comac,61,12000
CLT;IST;09:13:30;143;N 32 E;S 76 V;Embraer,75,6000
OTO;SIN;09:13:50;33;0;N 68 E;Boeing,189,11000
HEL;OTO;09:14:10;59;N 12 V;0;Comac,49,9000
MIA;DEL;09:14:30;111;S 1 E;N 43 V;Boeing,235,6000
OTO;ORD;09:14:50;122;0;S 15 E;Embraer,48,5000
OTO;PVG;09:15:10;143;0;S 29 V;Comac,60,6000
KUL;IST;09:15:30;26;N 82 E;S 60 V;Comac,63,13000
OTO;LHR;09:15:50;98;0;S 62 E;Boeing,108,5000
HEL;CDG;09:16:10;29;S 63 V;N 47 E;Airbus,131,10000
DWC;HND;09:16:30;64;N 4 V;S 66 E;Boeing,193,9000
OTO;CLT;09:16:50;25;0;N 5 E;Airbus,147,10000
FRA;BKK;09:17:10;108;S 72 E;N 75 V;Boeing,136,6000
OSL;OTO;09:17:30;141;S 41 E;0;Embraer,77,11000
LAX;JFK;09:17:50;123;S 76 V;N 21 E;Airbus,113,6000
OTO;SZX;09:18:10;23;0;S 69 V;Boeing,190,14000
OTO;MUC;09:18:30;60;0;N 45 V;Airbus,160,7000
OTO;SYD;09:18:50;16;0;S 45 V;Embraer,72,10000
OTO;SIN;09:19:10;59;0;N 53 V;Boeing,159,9000
LAX;YYZ;09:19:30;76;S 5 V;N 21 E;Embraer,46,7000
CAN;OSL;09:19:50;68;N 6 E;S 53 V;Boeing,147,9000
LHR;BKK;09:20:10;8;S 41 E;N 64 V;Comac,69,10000
BKK;DOH;09:20:30;138;N 72 V;S 46 E;Boeing,248,7000
FRA;OTO;09:20:50;86;S 75 V;0;Boeing,232,13000
